tp,gap,phase,abs_gap,lower_min,lower_max,upper_min,upper_max
0.0,-3.999993,Metal,3.999993,-1.999993,2.0,-1.999993,2.0
0.05,-3.899993,Metal,3.899993,-2.049993,1.95,-1.949993,2.05
0.1,-3.799993,Metal,3.799993,-2.099993,1.9,-1.899993,2.1
0.15,-3.699993,Metal,3.699993,-2.149993,1.85,-1.849993,2.15
0.2,-3.599993,Metal,3.599993,-2.199993,1.8,-1.799993,2.2
0.25,-3.499993,Metal,3.499993,-2.249993,1.75,-1.749993,2.25
0.3,-3.399993,Metal,3.399993,-2.299993,1.7,-1.699993,2.3
0.35,-3.299993,Metal,3.299993,-2.349993,1.65,-1.649993,2.35
0.4,-3.199993,Metal,3.199993,-2.399993,1.6,-1.599993,2.4
0.45,-3.099993,Metal,3.099993,-2.449993,1.55,-1.549993,2.45
0.5,-2.999993,Metal,2.999993,-2.499993,1.5,-1.499993,2.5
0.55,-2.899993,Metal,2.899993,-2.549993,1.45,-1.449993,2.55
0.6,-2.799993,Metal,2.799993,-2.599993,1.4,-1.399993,2.6
0.65,-2.699993,Metal,2.699993,-2.649993,1.35,-1.349993,2.65
0.7,-2.599993,Metal,2.599993,-2.699993,1.3,-1.299993,2.7
0.75,-2.499993,Metal,2.499993,-2.749993,1.25,-1.249993,2.75
0.8,-2.399993,Metal,2.399993,-2.799993,1.2,-1.199993,2.8
0.85,-2.299993,Metal,2.299993,-2.849993,1.15,-1.149993,2.85
0.9,-2.199993,Metal,2.199993,-2.899993,1.1,-1.099993,2.9
0.95,-2.099993,Metal,2.099993,-2.949993,1.05,-1.049993,2.95
1.0,-1.999993,Metal,1.999993,-2.999993,1.0,-0.999993,3.0
1.05,-1.899993,Metal,1.899993,-3.049993,0.95,-0.949993,3.05
1.1,-1.799993,Metal,1.799993,-3.099993,0.9,-0.899993,3.1
1.15,-1.699993,Metal,1.699993,-3.149993,0.85,-0.849993,3.15
1.2,-1.599993,Metal,1.599993,-3.199993,0.8,-0.799993,3.2
1.25,-1.499993,Metal,1.499993,-3.249993,0.75,-0.749993,3.25
1.3,-1.399993,Metal,1.399993,-3.299993,0.7,-0.699993,3.3
1.35,-1.299993,Metal,1.299993,-3.349993,0.65,-0.649993,3.35
1.4,-1.199993,Metal,1.199993,-3.399993,0.6,-0.599993,3.4
1.45,-1.099993,Metal,1.099993,-3.449993,0.55,-0.549993,3.45
1.5,-0.999993,Metal,0.999993,-3.499993,0.5,-0.499993,3.5
1.55,-0.899993,Metal,0.899993,-3.549993,0.45,-0.449993,3.55
1.6,-0.799993,Metal,0.799993,-3.599993,0.4,-0.399993,3.6
1.65,-0.699993,Metal,0.699993,-3.649993,0.35,-0.349993,3.65
1.7,-0.599993,Metal,0.599993,-3.699993,0.3,-0.299993,3.7
1.75,-0.499993,Metal,0.499993,-3.749993,0.25,-0.249993,3.75
1.8,-0.399993,Metal,0.399993,-3.799993,0.2,-0.199993,3.8
1.85,-0.299993,Metal,0.299993,-3.849993,0.15,-0.149993,3.85
1.9,-0.199993,Metal,0.199993,-3.899993,0.1,-0.099993,3.9
1.95,-0.099993,Metal,0.099993,-3.949993,0.05,-0.049993,3.95
2.0,7e-06,Critical,7e-06,-3.999993,0.0,7e-06,4.0
2.05,0.100007,Insulator,0.100007,-4.049993,-0.05,0.050007,4.05
2.1,0.200007,Insulator,0.200007,-4.099993,-0.1,0.100007,4.1
2.15,0.300007,Insulator,0.300007,-4.149993,-0.15,0.150007,4.15
2.2,0.400007,Insulator,0.400007,-4.199993,-0.2,0.200007,4.2
2.25,0.500007,Insulator,0.500007,-4.249993,-0.25,0.250007,4.25
2.3,0.600007,Insulator,0.600007,-4.299993,-0.3,0.300007,4.3
2.35,0.700007,Insulator,0.700007,-4.349993,-0.35,0.350007,4.35
2.4,0.800007,Insulator,0.800007,-4.399993,-0.4,0.400007,4.4
2.45,0.900007,Insulator,0.900007,-4.449993,-0.45,0.450007,4.45
2.5,1.000007,Insulator,1.000007,-4.499993,-0.5,0.500007,4.5
2.55,1.100007,Insulator,1.100007,-4.549993,-0.55,0.550007,4.55
2.6,1.200007,Insulator,1.200007,-4.599993,-0.6,0.600007,4.6
2.65,1.300007,Insulator,1.300007,-4.649993,-0.65,0.650007,4.65
2.7,1.400007,Insulator,1.400007,-4.699993,-0.7,0.700007,4.7
2.75,1.500007,Insulator,1.500007,-4.749993,-0.75,0.750007,4.75
2.8,1.600007,Insulator,1.600007,-4.799993,-0.8,0.800007,4.8
2.85,1.700007,Insulator,1.700007,-4.849993,-0.85,0.850007,4.85
2.9,1.800007,Insulator,1.800007,-4.899993,-0.9,0.900007,4.9
2.95,1.900007,Insulator,1.900007,-4.949993,-0.95,0.950007,4.95
3.0,2.000007,Insulator,2.000007,-4.999993,-1.0,1.000007,5.0
3.05,2.100007,Insulator,2.100007,-5.049993,-1.05,1.050007,5.05
3.1,2.200007,Insulator,2.200007,-5.099993,-1.1,1.100007,5.1
3.15,2.300007,Insulator,2.300007,-5.149993,-1.15,1.150007,5.15
3.2,2.400007,Insulator,2.400007,-5.199993,-1.2,1.200007,5.2
3.25,2.500007,Insulator,2.500007,-5.249993,-1.25,1.250007,5.25
3.3,2.600007,Insulator,2.600007,-5.299993,-1.3,1.300007,5.3
3.35,2.700007,Insulator,2.700007,-5.349993,-1.35,1.350007,5.35
3.4,2.800007,Insulator,2.800007,-5.399993,-1.4,1.400007,5.4
3.45,2.900007,Insulator,2.900007,-5.449993,-1.45,1.450007,5.45
3.5,3.000007,Insulator,3.000007,-5.499993,-1.5,1.500007,5.5
3.55,3.100007,Insulator,3.100007,-5.549993,-1.55,1.550007,5.55
3.6,3.200007,Insulator,3.200007,-5.599993,-1.6,1.600007,5.6
