tp,tpp,gap,phase,abs_gap,lower_min,lower_max,upper_min,upper_max
0.0,0.2,-3.599993,Metal,3.599993,-2.199993,1.8,-1.799993,2.2
0.05,0.2,-3.599993,Metal,3.599993,-2.249993,1.85,-1.749993,2.15
0.1,0.2,-3.599993,Metal,3.599993,-2.299993,1.9,-1.699993,2.1
0.15,0.2,-3.599993,Metal,3.599993,-2.349993,1.95,-1.649993,2.05
0.2,0.2,-3.599993,Metal,3.599993,-2.399993,2.0,-1.599993,2.01
0.25,0.2,-3.499994,Metal,3.499994,-2.449993,1.95,-1.549994,2.05
0.3,0.2,-3.399994,Metal,3.399994,-2.499993,1.9,-1.499994,2.1
0.35,0.2,-3.299994,Metal,3.299994,-2.549993,1.85,-1.449994,2.15
0.4,0.2,-3.199994,Metal,3.199994,-2.599993,1.8,-1.399994,2.2
0.45,0.2,-3.099994,Metal,3.099994,-2.649993,1.75,-1.349994,2.25
0.5,0.2,-2.999994,Metal,2.999994,-2.699993,1.7,-1.299994,2.3
0.55,0.2,-2.899994,Metal,2.899994,-2.749993,1.65,-1.249994,2.35
0.6,0.2,-2.799994,Metal,2.799994,-2.799993,1.6,-1.199994,2.4
0.65,0.2,-2.699994,Metal,2.699994,-2.849993,1.55,-1.149994,2.45
0.7,0.2,-2.599994,Metal,2.599994,-2.899993,1.5,-1.099994,2.5
0.75,0.2,-2.499994,Metal,2.499994,-2.949993,1.45,-1.049994,2.55
0.8,0.2,-2.399994,Metal,2.399994,-2.999993,1.4,-0.999994,2.6
0.85,0.2,-2.299994,Metal,2.299994,-3.049993,1.35,-0.949994,2.65
0.9,0.2,-2.199994,Metal,2.199994,-3.099993,1.3,-0.899994,2.7
0.95,0.2,-2.099994,Metal,2.099994,-3.149993,1.25,-0.849994,2.75
1.0,0.2,-1.999994,Metal,1.999994,-3.199993,1.2,-0.799994,2.8
1.05,0.2,-1.899994,Metal,1.899994,-3.249993,1.15,-0.749994,2.85
1.1,0.2,-1.799994,Metal,1.799994,-3.299993,1.1,-0.699994,2.9
1.15,0.2,-1.699994,Metal,1.699994,-3.349993,1.05,-0.649994,2.95
1.2,0.2,-1.599994,Metal,1.599994,-3.399993,1.0,-0.599994,3.0
1.25,0.2,-1.499994,Metal,1.499994,-3.449993,0.95,-0.549994,3.05
1.3,0.2,-1.399994,Metal,1.399994,-3.499993,0.9,-0.499994,3.1
1.35,0.2,-1.299994,Metal,1.299994,-3.549993,0.85,-0.449994,3.15
1.4,0.2,-1.199994,Metal,1.199994,-3.599993,0.8,-0.399994,3.2
1.45,0.2,-1.099994,Metal,1.099994,-3.649993,0.75,-0.349994,3.25
1.5,0.2,-0.999994,Metal,0.999994,-3.699993,0.7,-0.299994,3.3
1.55,0.2,-0.899994,Metal,0.899994,-3.749993,0.65,-0.249994,3.35
1.6,0.2,-0.799994,Metal,0.799994,-3.799993,0.6,-0.199994,3.4
1.65,0.2,-0.699994,Metal,0.699994,-3.849993,0.55,-0.149994,3.45
1.7,0.2,-0.599994,Metal,0.599994,-3.899993,0.5,-0.099994,3.5
1.75,0.2,-0.499994,Metal,0.499994,-3.949993,0.45,-0.049994,3.55
1.8,0.2,-0.399994,Metal,0.399994,-3.999993,0.4,6e-06,3.6
1.85,0.2,-0.299994,Metal,0.299994,-4.049993,0.35,0.050006,3.65
1.9,0.2,-0.199994,Metal,0.199994,-4.099993,0.3,0.100006,3.7
1.95,0.2,-0.099994,Metal,0.099994,-4.149993,0.25,0.150006,3.75
2.0,0.2,6e-06,Critical,6e-06,-4.199993,0.2,0.200006,3.8
2.05,0.2,0.100006,Insulator,0.100006,-4.249993,0.15,0.250006,3.85
2.1,0.2,0.200006,Insulator,0.200006,-4.299993,0.1,0.300006,3.9
2.15,0.2,0.300006,Insulator,0.300006,-4.349993,0.05,0.350006,3.95
2.2,0.2,0.400006,Insulator,0.400006,-4.399993,0.0,0.400006,4.0
2.25,0.2,0.500006,Insulator,0.500006,-4.449993,-0.05,0.450006,4.05
2.3,0.2,0.600006,Insulator,0.600006,-4.499993,-0.1,0.500006,4.1
2.35,0.2,0.700006,Insulator,0.700006,-4.549993,-0.15,0.550006,4.15
2.4,0.2,0.800006,Insulator,0.800006,-4.599993,-0.2,0.600006,4.2
2.45,0.2,0.900006,Insulator,0.900006,-4.649992,-0.25,0.650006,4.25
2.5,0.2,1.000006,Insulator,1.000006,-4.699992,-0.3,0.700006,4.3
2.55,0.2,1.100006,Insulator,1.100006,-4.749992,-0.35,0.750006,4.35
2.6,0.2,1.200006,Insulator,1.200006,-4.799992,-0.4,0.800006,4.4
2.65,0.2,1.300006,Insulator,1.300006,-4.849992,-0.45,0.850006,4.45
2.7,0.2,1.400006,Insulator,1.400006,-4.899992,-0.5,0.900006,4.5
2.75,0.2,1.500006,Insulator,1.500006,-4.949992,-0.55,0.950006,4.55
2.8,0.2,1.600006,Insulator,1.600006,-4.999992,-0.6,1.000006,4.6
2.85,0.2,1.700006,Insulator,1.700006,-5.049992,-0.65,1.050006,4.65
2.9,0.2,1.800006,Insulator,1.800006,-5.099992,-0.7,1.100006,4.7
2.95,0.2,1.900006,Insulator,1.900006,-5.149992,-0.75,1.150006,4.75
3.0,0.2,2.000006,Insulator,2.000006,-5.199992,-0.8,1.200006,4.8
3.05,0.2,2.100006,Insulator,2.100006,-5.249992,-0.85,1.250006,4.85
3.1,0.2,2.200006,Insulator,2.200006,-5.299992,-0.9,1.300006,4.9
3.15,0.2,2.300006,Insulator,2.300006,-5.349992,-0.95,1.350006,4.95
3.2,0.2,2.400006,Insulator,2.400006,-5.399992,-1.0,1.400006,5.0
3.25,0.2,2.500006,Insulator,2.500006,-5.449992,-1.05,1.450006,5.05
3.3,0.2,2.600006,Insulator,2.600006,-5.499992,-1.1,1.500006,5.1
3.35,0.2,2.700006,Insulator,2.700006,-5.549992,-1.15,1.550006,5.15
3.4,0.2,2.800006,Insulator,2.800006,-5.599992,-1.2,1.600006,5.2
3.45,0.2,2.900006,Insulator,2.900006,-5.649992,-1.25,1.650006,5.25
3.5,0.2,3.000006,Insulator,3.000006,-5.699992,-1.3,1.700006,5.3
3.55,0.2,3.100006,Insulator,3.100006,-5.749992,-1.35,1.750006,5.35
3.6,0.2,3.200006,Insulator,3.200006,-5.799992,-1.4,1.800006,5.4
3.65,0.2,3.300006,Insulator,3.300006,-5.849992,-1.45,1.850006,5.45
3.7,0.2,3.400006,Insulator,3.400006,-5.899992,-1.5,1.900006,5.5
3.75,0.2,3.500006,Insulator,3.500006,-5.949992,-1.55,1.950006,5.55
3.8,0.2,3.600006,Insulator,3.600006,-5.999992,-1.6,2.000006,5.6
3.85,0.2,3.700006,Insulator,3.700006,-6.049992,-1.65,2.050006,5.65
3.9,0.2,3.800006,Insulator,3.800006,-6.099992,-1.7,2.100006,5.7
3.95,0.2,3.900006,Insulator,3.900006,-6.149992,-1.75,2.150006,5.75
4.0,0.2,4.000006,Insulator,4.000006,-6.199992,-1.8,2.200006,5.8
