tp,tpp,gap,phase,abs_gap,lower_min,lower_max,upper_min,upper_max
0.0,0.2,-3.199995,Metal,3.199995,-2.399992,1.6,-1.599995,2.4
0.05,0.2,-3.199995,Metal,3.199995,-2.449992,1.65,-1.549995,2.35
0.1,0.2,-3.199995,Metal,3.199995,-2.499992,1.7,-1.499995,2.3
0.15,0.2,-3.199995,Metal,3.199995,-2.549992,1.75,-1.449995,2.25
0.2,0.2,-3.199995,Metal,3.199995,-2.599992,1.8,-1.399995,2.2
0.25,0.2,-3.199995,Metal,3.199995,-2.649992,1.85,-1.349995,2.15
0.3,0.2,-3.199995,Metal,3.199995,-2.699992,1.9,-1.299995,2.1
0.35,0.2,-3.199995,Metal,3.199995,-2.749992,1.95,-1.249995,2.05
0.4,0.2,-3.199995,Metal,3.199995,-2.799992,2.0,-1.199995,2.0
0.45,0.2,-3.099995,Metal,3.099995,-2.849992,1.95,-1.149995,2.05
0.5,0.2,-2.999995,Metal,2.999995,-2.899992,1.9,-1.099995,2.1
0.55,0.2,-2.899995,Metal,2.899995,-2.949992,1.85,-1.049995,2.15
0.6,0.2,-2.799995,Metal,2.799995,-2.999992,1.8,-0.999995,2.2
0.65,0.2,-2.699995,Metal,2.699995,-3.049992,1.75,-0.949995,2.25
0.7,0.2,-2.599995,Metal,2.599995,-3.099992,1.7,-0.899995,2.3
0.75,0.2,-2.499995,Metal,2.499995,-3.149992,1.65,-0.849995,2.35
0.8,0.2,-2.399995,Metal,2.399995,-3.199992,1.6,-0.799995,2.4
0.85,0.2,-2.299995,Metal,2.299995,-3.249992,1.55,-0.749995,2.45
0.9,0.2,-2.199995,Metal,2.199995,-3.299992,1.5,-0.699995,2.5
0.95,0.2,-2.099995,Metal,2.099995,-3.349992,1.45,-0.649995,2.55
1.0,0.2,-1.999995,Metal,1.999995,-3.399992,1.4,-0.599995,2.6
1.05,0.2,-1.899995,Metal,1.899995,-3.449992,1.35,-0.549995,2.65
1.1,0.2,-1.799995,Metal,1.799995,-3.499992,1.3,-0.499995,2.7
1.15,0.2,-1.699995,Metal,1.699995,-3.549992,1.25,-0.449995,2.75
1.2,0.2,-1.599995,Metal,1.599995,-3.599992,1.2,-0.399995,2.8
1.25,0.2,-1.499995,Metal,1.499995,-3.649992,1.15,-0.349995,2.85
1.3,0.2,-1.399995,Metal,1.399995,-3.699992,1.1,-0.299995,2.9
1.35,0.2,-1.299995,Metal,1.299995,-3.749992,1.05,-0.249995,2.95
1.4,0.2,-1.199995,Metal,1.199995,-3.799992,1.0,-0.199995,3.0
1.45,0.2,-1.099995,Metal,1.099995,-3.849992,0.95,-0.149995,3.05
1.5,0.2,-0.999995,Metal,0.999995,-3.899992,0.9,-0.099995,3.1
1.55,0.2,-0.899995,Metal,0.899995,-3.949992,0.85,-0.049995,3.15
1.6,0.2,-0.799995,Metal,0.799995,-3.999992,0.8,5e-06,3.2
1.65,0.2,-0.699995,Metal,0.699995,-4.049992,0.75,0.050005,3.25
1.7,0.2,-0.599995,Metal,0.599995,-4.099992,0.7,0.100005,3.3
1.75,0.2,-0.499995,Metal,0.499995,-4.149992,0.65,0.150005,3.35
1.8,0.2,-0.399995,Metal,0.399995,-4.199992,0.6,0.200005,3.4
1.85,0.2,-0.299995,Metal,0.299995,-4.249992,0.55,0.250005,3.45
1.9,0.2,-0.199995,Metal,0.199995,-4.299992,0.5,0.300005,3.5
1.95,0.2,-0.099995,Metal,0.099995,-4.349992,0.45,0.350005,3.55
2.0,0.2,5e-06,Critical,5e-06,-4.399992,0.4,0.400005,3.6
2.05,0.2,0.100005,Insulator,0.100005,-4.449992,0.35,0.450005,3.65
2.1,0.2,0.200005,Insulator,0.200005,-4.499992,0.3,0.500005,3.7
2.15,0.2,0.300005,Insulator,0.300005,-4.549992,0.25,0.550005,3.75
2.2,0.2,0.400005,Insulator,0.400005,-4.599992,0.2,0.600005,3.8
2.25,0.2,0.500005,Insulator,0.500005,-4.649992,0.15,0.650005,3.85
2.3,0.2,0.600005,Insulator,0.600005,-4.699992,0.1,0.700005,3.9
2.35,0.2,0.700005,Insulator,0.700005,-4.749992,0.05,0.750005,3.95
2.4,0.2,0.800005,Insulator,0.800005,-4.799992,-0.0,0.800005,4.0
2.45,0.2,0.900005,Insulator,0.900005,-4.849992,-0.05,0.850005,4.05
2.5,0.2,1.000005,Insulator,1.000005,-4.899992,-0.1,0.900005,4.1
2.55,0.2,1.100005,Insulator,1.100005,-4.949992,-0.15,0.950005,4.15
2.6,0.2,1.200005,Insulator,1.200005,-4.999992,-0.2,1.000005,4.2
2.65,0.2,1.300005,Insulator,1.300005,-5.049992,-0.25,1.050005,4.25
2.7,0.2,1.400005,Insulator,1.400005,-5.099992,-0.3,1.100005,4.3
2.75,0.2,1.500005,Insulator,1.500005,-5.149992,-0.35,1.150005,4.35
2.8,0.2,1.600005,Insulator,1.600005,-5.199992,-0.4,1.200005,4.4
2.85,0.2,1.700005,Insulator,1.700005,-5.249992,-0.45,1.250005,4.45
2.9,0.2,1.800005,Insulator,1.800005,-5.299992,-0.5,1.300005,4.5
2.95,0.2,1.900005,Insulator,1.900005,-5.349992,-0.55,1.350005,4.55
3.0,0.2,2.000005,Insulator,2.000005,-5.399992,-0.6,1.400005,4.6
3.05,0.2,2.100005,Insulator,2.100005,-5.449992,-0.65,1.450005,4.65
3.1,0.2,2.200005,Insulator,2.200005,-5.499992,-0.7,1.500005,4.7
3.15,0.2,2.300005,Insulator,2.300005,-5.549992,-0.75,1.550005,4.75
3.2,0.2,2.400005,Insulator,2.400005,-5.599992,-0.8,1.600005,4.8
3.25,0.2,2.500005,Insulator,2.500005,-5.649992,-0.85,1.650005,4.85
3.3,0.2,2.600005,Insulator,2.600005,-5.699992,-0.9,1.700005,4.9
3.35,0.2,2.700005,Insulator,2.700005,-5.749992,-0.95,1.750005,4.95
3.4,0.2,2.800005,Insulator,2.800005,-5.799992,-1.0,1.800005,5.0
3.45,0.2,2.900005,Insulator,2.900005,-5.849992,-1.05,1.850005,5.05
3.5,0.2,3.000005,Insulator,3.000005,-5.899992,-1.1,1.900005,5.1
3.55,0.2,3.100005,Insulator,3.100005,-5.949992,-1.15,1.950005,5.15
3.6,0.2,3.200005,Insulator,3.200005,-5.999992,-1.2,2.000005,5.2
3.65,0.2,3.300005,Insulator,3.300005,-6.049992,-1.25,2.050005,5.25
3.7,0.2,3.400005,Insulator,3.400005,-6.099992,-1.3,2.100005,5.3
3.75,0.2,3.500005,Insulator,3.500005,-6.149992,-1.35,2.150005,5.35
3.8,0.2,3.600005,Insulator,3.600005,-6.199992,-1.4,2.200005,5.4
3.85,0.2,3.700005,Insulator,3.700005,-6.249992,-1.45,2.250005,5.45
3.9,0.2,3.800005,Insulator,3.800005,-6.299992,-1.5,2.300005,5.5
3.95,0.2,3.900005,Insulator,3.900005,-6.349992,-1.55,2.350005,5.55
4.0,0.2,4.000005,Insulator,4.000005,-6.399992,-1.6,2.400005,5.6
